TITLE = "New Centroid Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
4.793869211358890436e-01 8.430236353821550788e-01 2.439248450463960272e-01
5.188495661636723932e-01 8.548178109179589423e-01 9.035365471160766715e-03
4.350061451410117130e-01 7.956659266016757881e-01 4.215274450550684504e-01
9.929157162162992600e-01 1.097837854907884603e-01 4.545218293972177331e-02
5.193012535910516148e-01 8.541004653944777036e-01 2.895864347131733504e-02
4.348125460637661255e-01 8.116724452449781690e-01 3.900331927100350593e-01
5.045883159450424982e-01 8.575210435201169323e-01 1.002411658547315704e-01
7.637327663973944025e-01 6.250629886527788726e-01 1.612715776181248006e-01
5.208888241745491809e-01 8.535365562850429910e-01 1.225479233301251906e-02
4.238840836468434903e-01 7.991639349965279360e-01 4.262150732103935358e-01
5.132494922297645701e-01 8.555549392478143389e-01 6.782849441464500195e-02
5.134218231345836214e-01 8.580848850229869651e-01 9.400086395754528312e-03
9.815377829627353057e-01 1.912581117314300638e-01 1.978715119957521161e-03
5.193539227194233776e-01 8.544847637099297621e-01 1.128235540711883776e-02
9.867481734047042208e-01 1.622522425571885085e-01 1.500689056015574487e-03
5.115600198734919779e-01 8.592424238367469824e-01 2.967009636768933208e-03
9.998755731729394025e-01 1.577389738184899540e-02 1.494438787766030256e-04
7.333724131099806920e-01 6.797669745134869990e-01 9.042347594742332698e-03
4.169997532547904950e-01 7.884113487188396663e-01 4.522374940192199211e-01
4.171368275918116431e-01 7.858221484443660421e-01 4.565965594273788675e-01
3.326740089818605028e-01 6.445767152053366589e-01 6.883668077144884379e-01
4.220915130163758189e-01 7.941929623386313475e-01 4.371456201442899814e-01
4.229502392991481563e-01 7.927229212057278485e-01 4.389800283291379612e-01
4.158364581241122404e-01 7.870319914200306632e-01 4.556980190611041315e-01
-7.027249108870287087e-02 -1.460110542958590329e-01 9.867839424208321164e-01
4.866215034262213468e-01 8.351790881411411682e-01 2.562721271128327039e-01
4.871573654375481732e-01 8.447387570072945051e-01 2.215719605674831005e-01
4.572858196818191390e-01 8.125600275058562083e-01 3.614358598944063528e-01
