TITLE     = "ANALYZED MODEL"
VARIABLES = "X", "Y", "Z", "C"
ZONE T="STEP 0 Incr 0"
F = POINT
69.719300 -6.344440 -10.336700 0.000000
71.165400 -6.796210 -9.714000 0.000000
71.165400 -6.344440 -10.325500 0.000000
72.611500 -5.597850 -11.160100 0.000000
72.611500 -4.898300 -11.782400 0.000000
74.057700 -5.577640 -11.160100 0.000000
74.057700 -4.898300 -11.769300 0.000000
72.611500 -6.776020 -9.714000 0.000000
72.611500 -6.344440 -10.304300 0.000000
74.057700 -6.749970 -9.714000 0.000000
74.057700 -6.344440 -10.272800 0.000000
63.934700 -3.003680 -12.606300 0.000000
63.934700 -2.006020 -12.868100 0.000000
65.380900 -3.167000 -12.606300 0.000000
65.380900 -2.006020 -12.920500 0.000000
66.827000 -3.295040 -12.606300 0.000000
66.827000 -2.006020 -12.965500 0.000000
68.273100 -3.390060 -12.606300 0.000000
68.273100 -2.006020 -13.003300 0.000000
63.934700 -0.559886 -12.934700 0.000000
65.380900 -0.559886 -12.981600 0.000000
63.202100 0.886253 -12.606300 0.000000
63.934700 0.886253 -12.634000 0.000000
65.380900 0.886253 -12.675900 0.000000
66.827000 -0.559886 -13.021000 0.000000
68.273100 -0.559886 -13.054400 0.000000
66.827000 0.886253 -12.708700 0.000000
68.273100 0.886253 -12.734300 0.000000
63.934700 -3.452160 -12.433500 0.000000
65.380900 -3.452160 -12.492400 0.000000
66.827000 -3.452160 -12.541400 0.000000
68.273100 -3.452160 -12.579900 0.000000
69.719300 -3.457520 -12.606300 0.000000
69.719300 -3.452160 -12.608700 0.000000
69.594700 -3.452160 -12.606300 0.000000
71.165400 -3.500420 -12.606300 0.000000
71.165400 -3.452160 -12.628500 0.000000
69.719300 -2.006020 -13.032700 0.000000
71.165400 -2.006020 -13.052600 0.000000
72.611500 -3.519660 -12.606300 0.000000
72.611500 -3.452160 -12.637800 0.000000
74.057700 -3.509350 -12.606300 0.000000
74.057700 -3.452160 -12.633100 0.000000
72.611500 -2.006020 -13.061600 0.000000
74.057700 -2.006020 -13.057500 0.000000
69.719300 -0.559886 -13.080200 0.000000
71.165400 -0.559886 -13.095500 0.000000
69.719300 0.886253 -12.751400 0.000000
71.165400 0.886253 -12.756700 0.000000
72.611500 -0.559886 -13.097700 0.000000
74.057700 -0.559886 -13.085500 0.000000
72.611500 0.886253 -12.746900 0.000000
74.057700 0.886253 -12.720300 0.000000
56.704000 -7.862750 -6.821720 0.000000
56.704000 -7.790580 -7.000520 0.000000
55.943400 -7.790580 -6.821720 0.000000
52.365600 -6.697950 -8.267860 0.000000
52.365600 -6.344440 -8.813780 0.000000
53.811700 -6.887190 -8.267860 0.000000
53.811700 -6.344440 -9.112740 0.000000
